reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"Rahul ji, aapka ₹22000 EMI 43 din se overdue hai. ₹11000 abhi bhej sakte hain? UPI se bhejne par ₹500 ka late fees maaf hoga","Bhai, ₹11000 abhi nahi ho payega. ₹5500 abhi bhej raha hun, baaki 25 din mein pakka. UPI se bhej raha hun",partial_payment,43,22000,business loan EMI,cooperative,mumbai,25,16500.0,,temporary financial difficulty,False,False
"Amit ji, ₹12000 ka EMI 70 din se pending hai. Yeh aapke CIBIL score ko affect kar raha hai. Kab tak payment karoge kay?","Yaar paisa nahi hai, business mein nuksan ho raha hai, next quarter zarur kar dunga",needs_more_time,70,12000,BNPL payment,evasive,delhi,,,,business_problem,True,False
"Sir, ₹4800 business loan EMI 19 din se overdue hai. Late fees ₹300 lag rahi hai. UPI maadtini settle karein, CIBIL score impact hoga.","Sir, bekku 3-4 din aur chahiye, wo time par denge, UPI kar dunga.",needs_more_time,19,4800,business loan EMI,polite,bangalore,3-4 din,4800.0,,,True,False
"Rahul ji, ₹1200 EMI 4 din ho gaye late. Late fees bhi lagech, abhi karein: rzp.io/pay","bhai aaj hi kar dunga, sorry yaar kuch personal issues mein busy tha",promise_to_pay,4,1200,mobile loan EMI,polite,pune,aaj,1200.0,,personal issues,False,False
"Vikram yaar, ₹22000 bike loan EMI ke liye turant payment karein, aapke account pe late fees bhi lag raha hai. UPI se payment link bhej raha hoon. 📈","Haan yaar, sorry yaar, kal tak kar denge, thoda cash flow issue hai 🤞",refusal,7,22000,bike loan EMI,worried,hyderabad,,,,cash flow issue,False,False
"₹5000 ka EMI 30 din se due hai, aapne ab tak kyun nahi kiya payment? Late fees bhi lag rahi hai.","Sorry, maine paise invest kar diye the aur ab wapas nahi aa rahe, settlement karenge?",dispute,30,5000,credit line EMI,worried,mumbai,,,,investment issue,False,False
"Anna ₹12000 ka EMI 14 din se overdue hai. Aapka CIBIL score bhi impact ho sakta hai. Okay ra, aaj settle karein? UPI se payment link bhej raha hoon.","Boss, sorry yaar. Mummy hospital mein hain, 10 din aur do. Phir double kar dunga. Promise.",needs_more_time,14,12000,personal loan EMI,polite,hyderabad,10 days,24000.0,,family emergency,True,False
"Vikram ji, ₹12000 ka EMI time par nahi aaya. 9 din ho gaye, late fees lag rahi hai. Nako, CIBIL score bhi kharab hoga. UPI link bhejta hoon.","Re, sach mein paisa nahi h, 10 din mein double EMI kar dunga. Please thoda time do, mummy ko hospital mein admit karna hai 🙏",needs_more_time,9,12000,business loan EMI,desperate,delhi,10,24000.0,,family_problem,True,False
"Rahul ji ₹8000 EMI pending hai. Late fees bhi lag rahi hai, turant karen ya humein settlement offer karna padega.","Bhai mujhe abhi kuch nahi ho raha, 2000 abhi bhej sakta hun baaki 20 tarikh ko",partial_payment,70,8000,personal loan EMI,cooperative,delhi,20 tarikh ko,2000.0,,,False,False
"Hi Amit, ₹2000 EMI 9 din late ho gayi. Late fees ₹500 lag gayi. UPI se pay karein: rzp.io/pay","Koi baat nahi, ₹2500 kal de dunga. Apna account number bhej do",promise_to_pay,9,2000,BNPL payment,resigned,hyderabad,tomorrow,2500.0,,salary,False,False
"Rajesh yaar, ₹15000 bike loan EMI ke liye turant payment karein, aapke account pe late fees bhi lag raha hai. UPI se payment link bhej raha hoon. 📈","Abhi thoda time do yaar, ghar pe kuch issues hain, kal tak kar denge 🤞",refusal,7,15000,bike loan EMI,polite,delhi,,,,personal issues,False,False
"Namaskar sir, ₹15000 ka payment aapke account mein 78 din se pending hai. Kripya jaldi se jaldi clear karein, nahi toh CIBIL score par asar pad sakta hai.","Illa, sir mujhe thoda time chahiye. Ek hafte mein karta hun",refusal,78,15000,BNPL payment,evasive,bangalore,,,,time constraint,True,False
"Priya ji, ₹9000 EMI pending. UPI maadtini use karke payment karein, late fees bhi lag rahi hai.","Ma'am 5000 abhi bhejti hun, baaki 1 hafte mein pakka.",partial_payment,27,9000,mobile loan EMI,resigned,bangalore,7,4000.0,,temporary financial difficulty,False,False
"Yaar, ₹9500 EMI miss ho gayi. Turant payment karein, nahi toh legal action lena padega.","Bhai, ₹9500 de sakte hai lekin ₹5000 kal bhejunga, baaki 3 din mein. Pakka!",dispute,16,9500,bike loan EMI,resigned,delhi,tomorrow,5000.0,,financial difficulty,False,True
"Sourav ji, aapka ₹12000 ka EMI 1 din se overdue hai. Aap UPI se ₹6000 abhi bhej sakte hain, baaki 10 din mein bhej dena.","Sir, ₹6000 abhi bhej raha hun, baaki 15 tarikh ko pakka.",partial_payment,1,12000,credit line EMI,cooperative,bangalore,15,6000.0,,,False,False
"Rahul ji, ₹8500 EMI 11 din se overdue hai. Late fees lag rahi hai. Turant payment karein ya phir CIBIL score par asar padega.","Yaar, mere business mein thoda problem chal raha hai. 1 week aur de do please. Phir turant payment kar dunga.",needs_more_time,11,8500,mobile loan EMI,polite,delhi,next week,8500.0,,business_problem,True,False
"Rahul ji, 3rd reminder — ₹9500 bike loan EMI 33 din overdue hai. Settlement offer samapth hone wali hai. Abhi karein: rzp.io/pay. CIBIL score par asar padega.","bhai, sorry. Kal salary aayegi, usse pehle transfer karwaunga. Pakka, bhai.",promise_to_pay,33,9500,bike loan EMI,polite-firm,delhi,tomorrow,9500.0,,,True,False
"Arjun ji, ₹10000 personal loan EMI overdue ho gaya 13 din. Late fees lag rahi hai, aaj settle karein? Payment link: <link>","Yaar, thoda time do, ghar mein hospital ka bill aaya hai. 15 din mein zarur karenge, sorry 🙏",needs_more_time,13,10000,personal loan EMI,worried,mumbai,15,10000.0,,medical_bill,False,False
Sir ₹20000 EMI bohot din se pending hai. Legal notice aa sakta hai agar turant payment nahi hoga.,"Bhai ₹10000 abhi bhejta hun, baaki 15 tarikh ko. Kal tak UPI details bhej do.",partial_payment,61,20000,credit line EMI,cooperative,delhi,15,10000.0,,financial,False,True
"Arre hi, ₹3500 ka EMI 3 din ho gaye overdue. Nako CIBIL affect hoga. Abhi karein: rzp.io/pay","re bhai, kal pakka kar dunga, aaj thoda busy tha, settlement kar sakte ho kya?",promise_to_pay,3,3500,BNPL payment,resigned,hyderabad,tomorrow,3500.0,settlement,busy,True,False
"Sir, ₹22000 ka EMI pending hai. Aap UPI se ₹11000 abhi bhej sakte hain?","Haan, ₹11000 abhi bhejta hun",partial_payment,79,22000,BNPL payment,cooperative,bangalore,abhi,11000.0,,,False,False
"Arre, ₹11000 bike loan EMI 20 din se overdue hai. Late fees lag rahi hai, aapka CIBIL score bhi impact hoga. UPI se abhi payment karein.","Kay re, ₹5000 abhi kar sakta hoon. Baki ₹6000 10 din mein kar dunga.",needs_more_time,20,11000,bike loan EMI,polite,mumbai,10 din,6000.0,,partial payment,True,False
"Sun, ₹6500 ka EMI 80 din se due hai. Turant payment karein, nahi to CIBIL score kharab hoga.","Sorry bhai, maine paise nahi hain, 10 din mein payment kar dunga. 🙏",dispute,80,6500,personal loan EMI,evasive,delhi,10 din,6500.0,,financial issue,True,False
"Kumar ji, aapka ₹10000 ka EMI 1 din se overdue hai. CIBIL score kharaab ho sakta hai. ₹5000 abhi bhejne se aapko ek mauka milega.",Bekku ₹5000 abhi bhejta hun. Baaki 1 hafte mein pakka.,partial_payment,1,10000,credit line EMI,desperate,bangalore,7,5000.0,,,True,False
"Rahul ji ₹15000 ka EMI due hai, aapka CIBIL score bhi impact hoga. Settlement offer hai ₹10000 mein.","Main ₹10000 mein settlement karne ko taiyar hoon, lekin please CIBIL score ko clear kar do.",dispute,90,15000,credit line EMI,cooperative,bangalore,today,10000.0,settlement,,True,False
"Anna ₹12000 EMI baki hai, 90 din ho gaye hain. Poora amount ek baar mein pay karein toh ₹2000 ki late fee maaf karte hain.","boss ₹6000 abhi bhejta hun, baaki 10 din mein zaroor bhejunga. Okay ra?",partial_payment,90,12000,personal loan EMI,cooperative,hyderabad,10,6000.0,,,False,False
"Aapka ₹28000 ka BNPL payment 30 din se due hai. UPI se abhi payment karein, varna CIBIL score par asar padega aur late fees lagu hoga.","Mujhe ye loan nahi lena tha, aaplog ne galat information di thi 🤬",refusal,30,28000,BNPL payment,angry,hyderabad,,,misinformation,dispute,True,False
"Yaar ₹20000 ki payment 14 din ho gaye hue hai. Pakka aap bhool gaye honge. Turant payment karein, bhai: https://upi.link/1234","Abhi nahi kar sakta, court mein milte hain 😒",refusal,14,20000,BNPL payment,resigned,delhi,,,threat of legal action,no excuse,False,True
"Deepak bhai, ₹8000 EMI 19 din overdue. Bol lijiye, kab kar rahe hain? CIBIL score impact hoga: rzp.io/pay","Bhai, kal karwa dunga. Abhi thoda busy hoon",promise_to_pay,19,8000,business loan EMI,polite,delhi,kal,8000.0,,busyness,True,False
"Amit ji, ₹8000 ka EMI 3 din ho gaye overdue. Late fees lag gaya hai. Abhi karein: rzp.io/pay","bhai, thoda time chahiye, salary abhi nahi aayi, next week pakka kar dunga 🙏",promise_to_pay,3,8000,BNPL payment,desperate,delhi,next week,8000.0,,salary,False,False
"Amit ji, ₹9000 ka EMI 30 din overdue. Aapka CIBIL score affect ho raha hai. UPI se jaldi karein: rzp.io/pay","Re, maine kal hi office mein payment kar diya hai. Aap check kar lo. Thanks 🙏",promise_to_pay,30,9000,BNPL payment,cooperative,mumbai,,,payment_already_made,,True,False
"Kunal ji ₹13000 BNPL payment 41 din se pending. EMI bharne mein delay ho raha hai, aaj settle karein. RBI guidelines ke anusar aapko notice bhejna pad sakta hai.","nako sir, paisa jaldi jama karwaunga. Mummy ki tabiyat kharab hai, doctor ki bill chukani hai, next week aapko paisa bhejunga 🤕",needs_more_time,41,13000,BNPL payment,desperate,delhi,,,,family_problem,False,True
"Yaar Ankit, ₹8500 bike loan EMI 15 din ho gaye. Abhi turant UPI se kar dein: rzp.io/pay 🙏","bhai sorry, kal tak pakka karwa dunga, aaj ghar mein kuch urgent kaam tha 🙏",promise_to_pay,15,8500,bike loan EMI,polite,delhi,tomorrow,8500.0,,personal,False,False
"Aapka ₹11000 ka bike loan EMI 1 day se overdue hai, nako payment kar dete re? Aapko UPI se payment karna hai?","Sorry yaar, abhi thoda time de do, kal karunga, aur haan aapne link send kar do",refusal,1,11000,bike loan EMI,cooperative,mumbai,tomorrow,,,request for time,False,False
"Amit ji, ₹5000 ka bike loan EMI 79 din se pending hai. Pakka, aapko CIBIL score kharab hone se bachana hai.","Bhai maine 2 din pehle UPI kar diya tha, lekin abhi tak aapke system mein update nahi hua",dispute,79,5000,bike loan EMI,evasive,delhi,,,payment not received,technical issue,True,False
"Amit ji, ₹7000 ka EMI 30 din se overdue hai, aapko CIBIL score par asar pad sakta hai. Abhi payment karein.","Re, maine thoda intezar karne ko bola tha, kal tak payment kar deta hoon.",dispute,30,7000,credit line EMI,evasive,mumbai,kal,7000.0,,vague timeline,True,False
Rajesh ji ₹5500 ki EMI due hai. Late fees ₹600 extra lag gaye. Settlement karne ke liye bekku call karein.,"mujhe pata hai, abhi kuch din aur chahiye.",dispute,20,5500,mobile loan EMI,evasive,bangalore,,,payment timeline,vague timeline,False,False
"₹3500 business loan EMI 3 din se pending hai, sir. Bekku settle karein, CIBIL score bhi kharaab nahi hoga.","Yaar, ghar mein marriage hai, abhi thoda tight hoon, 15 din mein double kar dunga.",needs_more_time,3,3500,business loan EMI,cooperative,bangalore,15 days,7000.0,,family event,True,False
"Amit ji, ₹20000 EMI pending hai. Aapko settlement offer hai. Aap 15000 abhi bhejte hain, toh baaki amount maaf kar denge.","Bhai, 15000 abhi bhejta hun. Dhanyavad.",partial_payment,89,20000,bike loan EMI,cooperative,delhi,,15000.0,,,False,False
"Amit ji ₹9500 bike loan EMI 24 din late hai. Late fees lag rahi hai, bol kuch karein?","bhai sach mein paisa nahi h, 2 hafte aur do please 🙏",needs_more_time,24,9500,bike loan EMI,resigned,chennai,14,,,family_problem,False,False
Ramesh ji ₹18000 ka loan pending hai. CIBIL score kharaab hoga agar settlement nahi hoga. ₹18000 pay karne ka link bhejta hoon,"Main kuch nahi kar sakta, meri salary abhi nahi aayi hai. Kuch din aur wait karo",refusal,7,18000,mobile loan EMI,worried,bangalore,,,,financial constraint,True,False
"Arre Ramesh ji, ₹12000 EMI baki hai, 85 din se due hai. Poora payment karke CIBIL score achha rakhein.","Bhai thoda time lagech, 6000 abhi UPI se bhejta hun, baaki 20 din mein pakka",partial_payment,85,12000,mobile loan EMI,cooperative,mumbai,20,6000.0,,,True,False
Sai ji ₹9000 ka EMI bahut din se pending hai. Aapko definitely payment karna hoga. 🕒,Sorry anna UPI kar diya tha aapke system mein issue hai check karo,dispute,78,9000,business loan EMI,resigned,hyderabad,,,technical issue,,False,False
"Ma'am ₹8000 EMI overdue hai, ₹4000 abhi bhej sakte hain? UPI link: https://... , settlement option bhi discuss kar sakte hain.","Sorry sir, ₹2000 abhi bhej sakti hun, baaki 25 tarikh ko pakka, settlement option kya hai?",partial_payment,9,8000,BNPL payment,polite,bangalore,25,2000.0,,,False,False
"Neha ji, ₹15000 ki EMI clear karein please. Late fees bhi lag rahi hai. Payment link bhej raha hoon.","Abhi nahi kar sakta, jo karna ho karo",refusal,9,15000,credit line EMI,angry,delhi,,,,anger,False,False
"Vikram ji aapka ₹11000 personal loan EMI 5 din se overdue hai. Turant payment karein, nahi to late fees ₹500 ho jayega.","Yaar mujhe thoda time do, 3 din mein pakka kar dunga. Kya aap payment link bhej sakte hain?",needs_more_time,5,11000,personal loan EMI,polite,chennai,3 days,11000.0,,time constraint,False,False
"Sir, ₹38000 EMI 27 din se pending hai. Late fees lag rahi hai, settlement karne ke liye ek option do. CIBIL score bhi impact hoga.","Abhi to paisa nahi h, 15 din aur do please 🙏",needs_more_time,27,38000,credit line EMI,desperate,bangalore,15 days,,,family_issues,True,False
"Rajesh ji ₹8500 bike loan EMI 24 din late hai. Late fees lag rahi hai, pakka settlement karein.","bhai business thoda slow chal raha hai, next month double kar dunga",needs_more_time,24,8500,bike loan EMI,desperate,mumbai,,,,business_problem,False,False
"Rajesh ji, ₹6500 personal loan EMI overdue 13 din. Late fees lag rahi hai, aaj settle karein? UPI link: <link>","Nako, re, 5 din mein zarur karenge. Abhi thoda busy hoon",needs_more_time,13,6500,personal loan EMI,evasive,mumbai,5,6500.0,,busy,False,False
"Rahul ji, ₹3500 EMI 10 din ho gaye. CIBIL affect ho sakta hai. UPI se kar dein: rzp.io/pay 🚨","haan bhai, turant kar dunga. Aaj hi payment kar denge, sorry for delay 🤦",promise_to_pay,10,3500,BNPL payment,worried,bangalore,today,3500.0,,personal_issue,True,False
"Bhai ₹20000 ki EMI 41 din se pending hai. Turant payment karein, nahi toh CIBIL score par asar padega.","Yaar, abhi thoda stress hai, kal tak kar dena pakka 🙏",refusal,41,20000,credit line EMI,polite,delhi,,,,financial,True,False
"Sun Ramesh ji ₹8000 EMI pending hai, late fees bhi lag rahi hai.","Bhai ₹4000 abhi bhejta hun, baaki 15 tarikh ko pakka. UPI se payment link bhej do.",partial_payment,12,8000,credit line EMI,polite,delhi,15,4000.0,,,False,False
"Aapka ₹13000 ka business loan EMI 33 din se overdue hai. UPI karke bekku karo, nahi toh legal action lena padega.","Sir, maine 2 hafte pehle UPI kar diya tha, aap log check karo, kuch galat ho raha hai",dispute,33,13000,business loan EMI,polite,bangalore,,,payment issue,technical issue,False,True
Sun ₹8000 pending hai. Late fees lagu ho rahi hai. UPI se payment karein.,"Sorry bhai ₹4000 abhi bhej sakta hun, baaki 15 tarikh ko zarur.",partial_payment,24,8000,business loan EMI,desperate,mumbai,15,4000.0,,,False,False
"Arre bhai ₹12000 EMI pending hai 11 days se, thoda urgent hai. Full payment karein, UPI se link bhejta hun.","Nako re, abhi thoda mushkil hai, 6000 abhi bhej sakta hun, baaki 10 din mein zaroor karenge.",partial_payment,11,12000,business loan EMI,polite,mumbai,10,6000.0,,financial difficulties,False,False
"Vivek ji, ₹12000 ki BNPL payment ko 52 din ho gaye hain. ₹2500 late fees lag chuke hain. Bol, aapko pata hai ki RBI ke rules ke mutabiq aapko legal notice mil sakta hai.","Yaar, kuch nahi kar sakte. Ghar mein problem chal rahi hai, kabhi kabhi settlement kar dunga 🤷‍♂️",needs_more_time,52,12000,BNPL payment,evasive,delhi,,,,family problem,False,True
"Anna ₹6500 bike loan EMI due hai, 79 days ho gaye hain. Okay ra, payment karein?","Yeh amount extra hai anna, mere account mein UPI se ₹5000 already transfer ho gaye the. Enti cheyali?",dispute,79,6500,bike loan EMI,cooperative,hyderabad,,,amount,payment already made,False,False
"Arre, Amit ji, ₹15000 EMI pending hai. Aapka CIBIL score kharab ho raha hai. Kuch to bhej do abhi.","UPI se bhejta hun, 7500 abhi bhej raha hun, baaki 10 tarikh ko pakka",partial_payment,88,15000,BNPL payment,worried,delhi,10 tarikh,7500.0,,,True,False
"Deepak sir, ₹5000 ki EMI 15 din se due hai. Settlement option bhi khatam hone wali hai. UPI se kar dein: rzp.io/pay","dekhte hain bhai, kal salary aane wala hai, usse pehle transfer kar deta hoon",promise_to_pay,15,5000,mobile loan EMI,resigned,bangalore,usse pehle,5000.0,,salary,False,False
"Suresh bhai, ₹6500 bike loan EMI 33 din se overdue hai. Abhi UPI se payment karein: rzp.io/pay. Late fees lag rahi hai, aur CIBIL score affect hoga. Settlement offer bhi samapth hone wali hai.","bhai, thoda time do. Ek hafte mein payment karwaunga, pakka.",promise_to_pay,33,6500,bike loan EMI,polite-firm,delhi,in a week,6500.0,,,True,False
Rajesh ji ₹11000 clear karein. CIBIL score affect ho raha hai. Turant karein!,"sun, thoda time do. Court case chal raha hai, uske baad karta hun 🙏",refusal,5,11000,business loan EMI,desperate,delhi,,,court case,court case,True,False
Sir ₹12000 EMI due hai 55 din se. Late fees bhi lagega.,yeh amount galat hai mera loan 10000 ka tha extra charges kyun? settlement option de sakte hain?,dispute,55,12000,mobile loan EMI,cooperative,bangalore,next week,10000.0,incorrect amount,communication issue,False,False
"Amit ji, ₹1800 EMI 22 din ho gaye. Settlement options bhi discuss kar sakte hain. UPI se kar dein: rzp.io/pay","dekho bhai, abhi office mein busy hoon, friday ko free hoon, tab payment kar dunga",promise_to_pay,22,1800,credit line EMI,cooperative,delhi,friday,1800.0,,office busy,False,False
"Arre bhai, ₹12000 EMI 22 din ho gaye due. CIBIL score thoda lagech, abhi karein UPI se: rzp.io/pay 🙏","haan re, kal office se baahar hoon, thoda busy hoon. Tuesday ko zaroor kar dunga",promise_to_pay,22,12000,credit line EMI,polite,mumbai,Tuesday,12000.0,,busy,True,False
"Anil ji ₹4000 EMI due hai, aapko 80 days ho gaye. CIBIL score bhi kharab hoga.","Sorry sir, maine 2 din pehle transaction kiya tha, aapke system mein delay hai.",dispute,80,4000,personal loan EMI,polite,bangalore,,,payment not updated,system delay,True,False
"Namaste ma'am, aapka ₹6000 bike loan EMI 74 days overdue hai. Legal action lena padega agar payment nahi kiya.","Maine ₹2000 transfer kiya tha, aap check karein. Baki ₹4000 kal tak kar dunga.",dispute,74,6000,bike loan EMI,cooperative,bangalore,tomorrow,4000.0,payment not updated,partial payment,False,True
Hi Rohan ₹9000 EMI 47 din overdue. Aapko settlement offer karte hai. 50% abhi pay karein to baaki amount maaf 📊,"Enti boss, settlement chalu karein abhi, lekin amount thoda kam karein, meri salary abhi nahi aayi 🤞",promise_to_pay,47,9000,BNPL payment,cooperative,hyderabad,,,,salary_pending,False,True
"Amit ji, ₹6000 ki EMI 46 days se due hai. Kripya jaldi se payment karein, nahi to aapki CIBIL score pe asar pad sakta hai.","Sorry, maine paise nahi hain, thoda waqt chahiye. Kya hum settlement kar sakte hain?",dispute,46,6000,credit line EMI,worried,mumbai,,,payment not made,financial difficulties,True,False
"Kumar ji, ₹2500 ka EMI 9 din se overdue hai. Late fees lag rahi hai. Aap thoda settlement kar sakte hain? UPI se payment karein, link bhejta hoon.","Yaar, main 3 din mein EMI kar dunga. Abhi thoda paisa nahi h.",needs_more_time,9,2500,business loan EMI,worried,chennai,3,2500.0,,financial_problem,False,False
Boss ₹8500 EMI miss ho gayi. 28 din ho gaye. CIBIL score impact hoga. Payment karein.,"Definitely, payment kar denge. Thoda time de do, financial issue hai. 🤕",dispute,28,8500,credit line EMI,resigned,hyderabad,,,,financial issue,True,False
"Hi Rohan, ₹12000 bike loan EMI 5 din ho gaye overdue. Thoda tension ho raha hai, CIBIL affect ho sakta hai. Abhi UPI se kar dein: rzp.io/pay 🙏","Arre bhai, sorry yaar, kal salary aayegi, usse pehle kar dunga 🙏",promise_to_pay,5,12000,bike loan EMI,polite,mumbai,kal,12000.0,,salary,True,False
"₹5800 ka EMI 13 din se due hai, aapko settlement offer karte hain, aap interest se bach sakte hain","Nahi anna, mujhe settlement nahi chahiye, main full amount pay kar dunga, lekin thoda time chahiye",dispute,13,5800,bike loan EMI,cooperative,hyderabad,next week,5800.0,settlement offer,time constraint,False,False
"Sir, ₹10000 EMI 40 days overdue hai. Legal notice bhejna padega, agar abhi UPI se nahi karte. CIBIL score bhi affect hoga. UPI: rzp.io/pay","Illa sir, thoda time do, main kal office se baahar tha, aaj kar dunga 🙏",promise_to_pay,40,10000,BNPL payment,cooperative,bangalore,today,10000.0,,office work,True,True
"Dinesh ji, ₹22000 mobile loan EMI bahut overdue hai. Aapko CIBIL score affect hone ki samasya hogi. Turant contact karein.","Re bhai, main kuch din mein payment kar dunga. Abhi thoda busy hoon",needs_more_time,49,22000,mobile loan EMI,evasive,mumbai,,,,vague_timeline,True,False
"Preeti ji, ₹5800 EMI due hai. Aapne abhi tak payment nahi kiya. CIBIL score affect hoga.","arre, sir mujhe 10 din me payment karne do, aur yeh amount thoda kam kar sakte hain?",dispute,6,5800,personal loan EMI,cooperative,mumbai,10 days,5800.0,amount,temporary financial difficulty,True,False
"₹9500 ki EMI 29 din se overdue hai, late fees lag rahi hai. Aapka CIBIL score bhi impact ho sakta hai. Aaj settle karein?","Kay karu bhai, business bandh ho gaya hai. Mera loan maaf karo please 🤕",needs_more_time,29,9500,business loan EMI,worried,mumbai,,,,business closure,True,False
Enti ₹32000 personal loan EMI bahut overdue hai. RBI ke rules ke mutabik humein aapko legal notice bhejna hoga. Aap kab tak payment kar sakte hain?,"Bhai mere father hospital mein hain, abhi nahi kar paunga. Ek hafte mein zaroor karunga. Mere father ke ilaj ke liye paisa lag raha hai 🤕",needs_more_time,49,32000,personal loan EMI,desperate,hyderabad,1 week,32000.0,,family_problem,False,True
